dialog_id,summary_piece,position_index
13611705,Ella agrees to call the doctor tomorrow.,2
13611713,"They consider hiring a retired neighbour to check on mum daily and spend some time with her, but George can't help with it financially.",0
13611713,George hasn't seen mum long due to expensive plane tickets.,1
13611713,Jane and George's mother fell and had a bad sprain trying to catch herself.,2
13611718,Justin had a busy day in the fields preparing everything for the winter.,0
13611718,Katie an Justin are resting drinking beer.,1
13611718,Justin and Katie are going out this week.,2
13611718,Justin and Katie are going grocery shopping tomorrow evening.,3
13611718,Justin will call Katie after a shower.,4
13611746,Amy is panicked about a positive result from the pregnancy test.,0
13611746,Amy found a private clinic online and considers an abortion pill from them.,1
13611761,They will get a lunch this week on Friday.,0
13611761,Martin is suggesting Susan different locations where they can meet up on Friday at 1pm.,1
13611761,They will grab lunch at a spot around the corner.,2
13611761,Susan is vegetarian and has a very limited food choice.,3
13611761,"Susan and Martin are meeting on Thursday at one for lunch at a vegan restaurant Edamame as Susan's gluten intolerant, allergic to spicy food and a vegetarian.",4
13611761,They decide to meet at a vegan sushi restaurant.,5
13611761,"Susan'll bring a book ""The Source"" for Martin.",6
13611761,Martin is asking Susan to bring the book that she was going to lend him.,7
13611763,Cathreen gave birth in the early morning.,0
13611763,Donna doesn't remember much.,1
13611763,Walter wants to meet Donna today.,2
13611763,Donna wants to be left alone.,3
13611763,Walter talks with Donna about last night.,4
13611763,He will talk to Donna later.,5
13611805,Karen suggests to Avi that they play a story-telling game and they make up they story.,0
13611806,Pete is going to send a big video file to his laptop and then copy it to Thomas's laptop.,0
13611806,Thomas wants Pete to send him the file by bluetooth but Thomas doesn’t know whether his laptop has bluetooth connectivity.,1
13611806,They finally agree that Pete's going to use google drive to share the file with Thomas.,2
13611821,Chris and Peter are going to a party.,0
13611821,Chris is bringing sparklers.,1
13611821,"He'd like Tracy to come, but Peter's not sure if she will.",2
13611821,He will take her out.,3
13611853,The movie has very good reviews.,0
13611853,Carmen thinks it is controversial but true and worth seeing but Jennifer prefers funny films.,1
13611853,Carmen went to the cinema with Joseph to see ''Kler''.,2
13611853,Carmen is going to university and then to work tomorrow.,3
13611853,Carmen agrees to go this week except for tomorrow.,4
13611874,"Simon is going to buy groceries (yogurts, goat cheese and the Italian smoked sausage) and a shampoo for Nora.",0
13611874,Nora nad Simon are seeing each other tonight.,1
13611886,Rob is setting a 0333 number to redirect calls to Ann's new sim card.,0
13611886,Ann and Rob are discussing ideas related to redirecting phone calls to a company phone.,1
13611886,Ann also reminds Rob about an invoice they have problems issuing as Chris is late with necessary reports for trainings.,2
13611886,He will get it when he starts doing better at school.,3
13611892,Anna is angry as Tom hasn't changed Stevie's diaper for the whole day.,0
13611892,Lisa suggests leaving Stevie with Anna's sister.,1
13611892,He apologises to her.,2
13611892,Lisa thinks Anna should talk to Tom about his general attitude.,3
13611892,Lisa and Anna want to go to a Spa for a day at the weekend.,4
13611892,Lisa will call the Dream Spa today.,5
13611913-1,Stan offered to take Cooper to a Disperse concert in 2 weeks.,0
13611913-1,Cooper came up with new ideas for songs during weekend.,1
13611913-1,Cooper and Stan can't wait to play in their first gig.,2
13611913-1,Cooper's written 2 new songs and wants to realize them in the prog rock syle.,3
13611931,Sandra reckons it's too cold.,0
13611931,Sandra is going to the swimming pool and having a hot cup of tea afterwards.,1
13611931,Jane and George are going swimming.,2
13611981,Max wants to skip some things from the list.,0
13611981,"Nina and Max have lots of plans for tonight, so they think of skipping the visit at Nina's parents even though Max promised Nina's dad some help with the computer.",1
13611981,Max is helping Dan with his move at 7.,2
13611981,Then Nina is getting her nails done.,3
13611981,Nina and Max have loads to be done tonight.,4
13611981,Nina and Max are leaving work earlier to go shopping.,5
13612018,Lilly got herself a kitten although she is allergic to cats.,0
13612018,The cat is 2 months old.,1
13612018,"She is sneezing, has rashes and other allergic reactions.",2
13612019,He misses them as well.,0
13612019,Bringing them up was not always easy.,1
13612019,Gloria and Mell plan to have a barbeque at Mell's place on Saturday.,2
13612019,Mell needs Gloria's advice on garden design.,3
13612019,He is already planning the next one for Saturday.,4
13612019,"They are happy, because Tad's sister moved to Scotland.",5
13612020,Henry and Louis arranged the meeting for tonight.,0
13612020,"Ron, Chris and Harris will join them.",1
13612020,They plan to play snooker and have dinner.,2
13612020,"They will meet at 8pm at Louis's place, because there is a lot of parking space.",3
13612020,"Louis wants to watch movie at his place after dinner, but it's too late for his friends.",4
13612022,Agnes has bday today and she usually does nice things for herself to celebrate.,0
13612022,Marisol will talk to Agnes about  Kate's new boyfriend.,1
13612027,"Her father is stubborn and her mother is too soft, even though Karen tried to encourage her to be more decisive.",0
13612027,Karen is worried about her parents' possible divorce.,1
13612027,Sam is not sure what to do.,2
13612027,She is confused.,3
13612049,Rory wants Mitch to take Bill and Sammy and they'll chip in for gas.,0
13612049,Mitch is working at home.,1
13612049,"Mitch will be leaving Sunday, the 29th to get there by 9 am on Monday.",2
13612049,Mitch will meet Bill after.,3
13612055,Susan wants to go on vacation to Italy with her family.,0
13612055,Bill gives her details on the cheap apartment.,1
13612055,Bill will send owner's contact to Susan.,2
13612060,"Emma's son, Charlie, has lice again.",0
13612060,"Emma needs to wash all Charlie's belongings, couches and car seats.",1
13612060,"Emma, Holly, and Jack are going to take care of him over the week.",2
13612060,Holly and her husband will help Emma tonight.,3
13612060,"Emma has everything she needs, except a steamer.",4
13612060,They will also bring meatloaf.,5
13612077,Ben will call Roger to talk about their holiday later.,0
13612077,Ben is busy with the flying course.,1
13612077,Roger sells cars and the business is thriving.,2
13612077,Roger sells cars and business is doing great.,3
13612077,Roger asks Ben about his plans for this year's holiday and they agree to go to Ibiza together.,4
13612077,Ben and Roger want to go to Ibiza.,5
13612084,Karolina has started a new year at college.,0
13612084,"She stays in a cheap apartment, but the landlord needs the flat for his son, who comes back from another country.",1
13612084,Karolina is worried about it.,2
13612084,Jacky has helped her solve all of them.,3
13612084,"She studies in Stanford, the same place as Jack's sister, who may have a room for rent.",4
13612084,Jack will contact them.,5
13612084,Jack is a programmer.,6
13612092,Harry tells Sally she has the prettiest eyes he has ever seen.,0
13612092,"They recollect their journey to Venice, a gondola ride on the Grand Canal, a policeman and ice cream in a little street.",1
13612092,Harry asks Sally to merry him.,2
13612093,Sherif wants Aneta to translate an English website into Polish.,0
13612093,Lee confirms that the translation is accurate.,1
13612093,Her translation might be needed later on.,2
13612093,She is impressed with the website's design.,3
13612093,Sherif will send the rest of the files by the end of week to make it easier.,4
13612093,Aneta will do it next week before Christmas.,5
13612100,Joe is looking to make a supplier deal with Tara's company.,0
13612100,Tara will check the details and then would like to talk in person over lunch next Thursday at 12.,1
13612100,Tara will send Joe an address later.,2
13612111,Sue and Paul's dad has some problems with legs.,0
13612111,Sue did some supply teaching work last week in Swansea and has an interview next week in a new school in Port Talbot.,1
13612111,Paul saw Russell Howard in Birmingham last weekend and Sue saw Bohemian Rhapsody.,2
13612111,Paul will probably visit for Christmas next.,3
13612112,Rodger and Sidney registered to vote.,0
13612112,They want the Democrats to win to recover from Trump.,1
13612112,The extensive media presence of the immigrant caravan travelling to the US might be politically motivated.,2
13612112,Sidney is seeing Rodger to grab Mexican food in 10 minutes.,3
13612116,Jackson told Paige that Hailey cheated on Zach with his best friend.,0
13612119,Her brother Rick recommended contacting Carmen.,0
13612119,Nina needs help with maths.,1
13612119,Carmen's brother is good at maths and she gives Nina his phone number.,2
13612119,"Nina should call him in the evening, after his gym activity.",3
13612119,"Carmen's exam was good, but she forgets dates.",4
13612119,Nina offers her a book about WW II.,5
13612123,Diane had fun on Saturday.,0
13612123,Diane complains that maintenance of the pool is expensive.,1
13612123,Larry is looking for a house with a pool.,2
13612127,Cynthia saw Carlos and Richard making out.,0
13612127,Cynthia's friend Alice is seeing Carlos so she needs help.,1
13612127,Hernandez is going to come over.,2
13612133,He wants to change it and become an astronaut.,0
13612133,Mathew's favorite movie is Passengers and Steve's is Kill Bill.,1
13612133,Steve is bored at work.,2
13612134,Raymond can't decide whether he wants pizza or pasta.,0
13612134,He invites Charlotte over for a dinner at 15.,1
13612143,Tyler is seeing Ashley for drinks today.,0
13612143,Tyler doesn't know Warsaw at all as he spent there one night only.,1
13612143,Ashley will see Tyler later and they will find some place together.,2
13612155,Katy needs Brendon's help in the animal association tomorrow morning.,0
13612160,Mike supports Manchester United.,0
13612160,Oliver supports Liverpool.,1
13612160,Mike wants to bet with Oliver that his team will win the trophy.,2
13612176,Sam and Dorothy are attracted to Tom.,0
13612176,Sam is sending Dorothy Tom's photos.,1
13612176,Sam found that Tom is single.,2
13612202,Laura is going to Wal-Mart.,0
13612202,Eric wants to start planning their holiday.,1
13612202,Eric feels nothing he does means anything.,2
13612202,Laura won't talk to Eric when he's like that.,3
13612208,"Jen's husband is away for this weekend, so Geri and Jen are going to meet up.",0
13612208,"On Saturday, they will go out to find a man with whom Geri can have sex.",1
13612211,Jay got a new computer yesterday.,0
13612211,Jay and Gary will play Overwatch.,1
13612211,A and M are discussing details of a game they are playing.,2
13612225,They will have breakfasts at their place and drink and dine in pubs.,0
13612225,Carly suggests that they should go together for a cruise holiday.,1
13612225,They want to take a balcony suite.,2
13612225,Andy was on holiday.,3
13612225,Andy and Carly arranged a meeting on  Friday to discuss their holiday.,4
13612233,Danny's favorite is Starfish in Varadero.,0
13612233,Danny and Woof are looking for a hotel.,1
13612237,Dora thanks Thekla and Ulrich for an evening.,0
13612237,Dora invited her to go out with her on that night.,1
13612237,Ulrich and Thekla washed and cleared up the same night after the dinner.,2
13612237,They had a lot of fun.,3
13612237,Dora pays Thekla compliments.,4
13612244,David wants to find out about property prices in Ursus.,0
13612244,Dave is signing the agreement today.,1
13612244,Dave is paying 7100 per m2 in Wilanów.,2
13612244,Susie paid 7600.,3
13612245,Sharol forgot about her sociology assignment.,0
13612245,"She needs to research feminist act, and it's due tomorrow.",1
13612245,"Kate has already finished it, and she rushes Sharol.",2
13612247,"Penelope and Carlos are happy that the democrats took control of House, but disappointed that thet didn't take Senate.",0
13612247,The whole sum collected last year amounted to PLN 121 million.,1
13612247,Penelope read in the news that democrats can now investigate Trump.,2
13612247,Carlos and Penelopy hope the recent election will change the political climate.,3
13612256,"Kate cannot work properly, because paper got jammed in the printer.",0
13612256,"Andy can't help Kate right now, because he is busy in the server room.",1
13612258,Cleo wants to go out for a coffee.,0
13612258,Rod has to finish up some household chores.,1
13612258,She is also going to do some cleaning.,2
13612258,Cleo just has to clean her room but also she pays some bills.,3
13612258,Rod wants to move out but needs a better paying job.,4
13612258,Cleo claims he'll earn enough at her place.,5
13612258,Rod is seeing Cleo at Tim Horton's at 3 to discuss it.,6
13612259,Kate and Caro are meeting for lunch in Rack and Pinion on Wednesday at 2:30pm.,0
13612259,Caro will book them a table in the lounge bar.,1
13612279,It's 2.30 p.m. now and Aj's still not there.,0
13612279,Sue was expecting Aj at her place this morning.,1
13612279,Aj apologizes.,2
13612279,Aj promises to come to Sue in an hour and to bring a cake.,3
13612281,Miranda works all the time even on weekends.,0
13612281,Miranda's friends piss her off with their good advice.,1
13612281,Tommy reckons Miranda will be successful.,2
13612281,Tommy is drinking with some old friends today.,3
13612283,"Sally is feeling great, going for a run, whereas Josh is feeling under the weather, he is staying in bed.",0
13612283,Josh and Sally went to a great party at Tina's place.,1
13612288,Heather informs Jason that Harold's website offers a 50% discount for all the stock.,0
13612288,Heather already has 3 shirts on the cart and wants some jeans.,1
13612288,Jason can finally buy tennis shoes and something for his mom.,2
13612288,Jason is laughing at her.,3
13612292,Josh wants to talk to Anne on Skype but she has to study.,0
13612292,"Josh asks Ann if she is going to Spain, she answers she won't.",1
13612316,"Cathy is having her hair cut today, she wants a change and taking care of her long hair is difficult.",0
13612316,Martha wants a change too and she's considering going blonde.,1
13612321,Julie is going to visit New York City next week.,0
13612321,"She's first visiting a friend there and then going to Washington, D.C. Sophie is going to either Cuba or Palma for her summer vacation.",1
13612326,"Brad booked time off next month, on the 20th.",0
13612326,Brad and Claire are going on vacation to Spain or Italy.,1
13612335,Mila bought a new laptop for $1650 as in her previous one the keypad died.,0
13612335,Now she's waiting in line to make a new one.,1
13612335,He's satisfied with the performance of his computer.,2
13612335,"Mila's new laptop has the 8th generation processor (i7), 16gb RAM, 120gb SSD, 1t HDD and the graphics card is geforce 1060.",3
13612337,The team Boston has won for the third time this decade.,0
13612337,Zack is a huge fan of theirs.,1
13612337,"Boston have a serious young rival - Toronto, but in Zack's opinion, there's still no match for Boston, who have a record of 108 wins.",2
13612337,On Saturday there will be a victory parade.,3
13680109,Anette is going to talk to Maria tomorrow morning.,0
13680109,Ian is upset with Maria.,1
13680109,Ian has asked Maria to marry him to preserve his rights in Italy after Brexit as this is the least complicated option for him.,2
13680109,She is not happy.,3
13680109,She is very frustrated and angry.,4
13680109,Maria was born in Romania and doesn't feel genuinely Italian.,5
13680109,Ian is in a meeting.,6
13680113,Sean is going shopping and will buy a couple of things for Richard's barbecue.,0
13680113,"Next month however, at Marty's party, Sean will drink and won't be the driver.",1
13680113,Sean will not be then drinking as he will be the designated driver.,2
13680133,Sara is in Cannes looking for a job as a waitress.,0
13680133,"According to Sara, if she started singing at her job, she would be put in a psychiatric hospital.",1
13680133,"She's certain that even there she would take her usual set of useful everyday items, that she took to France.",2
13680182,George has seen a movie that he enjoyed very much and describes his impressions.,0
13680182,"Oscar wants to see the movie too, but he has to hurry, as the movie is not screened very often anymore.",1
13680222,Emilia is editing a manual at work right now.,0
13680222,"Trey gave Emilia a photo and promised to give her another one later, but didn't do it yet.",1
13680222,Trey is coming back from a job interview.,2
13680252,Debra is considering finding a new job.,0
13680252,Debra's boss yelled at her again for something she didn't do.,1
13680260,Matt hasn't bought the turkey yet as he might get one at work for free in the next couple of days.,0
13680260,Matt will probably be home at the usual time.Sadie and Matt are having grilled cheese soup later.,1
13680275,Linda and Bill are going to the Amish store on Wednesday.,0
13680275,Bill will get noodles for Barbara to cheer her up.,1
13680275,Barbara will go to school to learn programming.,2
13680283,Liam is awake and needs to get to school earlier for band practice.,0
13680283,Ed didn't know that.,1
13680283,Ed has just woken up.,2
13680283,The band has a concert soon.,3
13680283,Ed is leaving town for work that week and might not make it to the concert.,4
13680283,"Ed and Jill consider eating out, when Jill finishes work.",5
13680284,Tessy and Harry are going to meet in January.,0
13680284,"In the past she had, but she never fulfilled them.",1
13680284,"Tessy is worried about the Internet connection, because her boss might contact her anytime.",2
13680284,Tessy is going to Cuba for 5 weeks.,3
13680284,Harry wants to go to Israel for skiing holiday during Christmas.,4
13680290,"Mary and Will discuss the party last night; they talk about the fact that there were many people, they were drinking vodka, singing karaoke, smoking and it was extremely noisy.",0
13680291,"Ryan's another colleague, Pete, played a trick on the new worker.",0
13680291,Pen packed Ryan's lunch.,1
13680292,Brenda fell in the bathroom and badly hit her site.,0
13680292,"Her brother, Andy, is afraid she damaged something inside her body and tells her to watch it.",1
13680292,She can't take a deep breath.,2
13680294,"Matt is working for an event organizing association, where he's in charge of social media.",0
13680294,He's angry that on social media people look happy while in reality it's unpleasant.,1
13680294,"It's yet another job, where Matt is not getting paid.",2
13680294,Matt and Alex will meet on Saturday at Alex's place.,3
13680308,Will can't get in touch with Sam as he has deleted his Facebook profile.,0
13680308,He will still be using other socialising apps.,1
13680308,Will and Jane want to meet on Saturday to work on a project that is due next Friday.,2
13680308,Sam has no news about the project.,3
13680308,Jane can call Sam about the meeting.,4
13680312,Chris has a Jacuzzi in his garden.,0
13680312,Chris has WiFi and can bring his TV outside.,1
13680312,Tom has a low internet limit whenever he's outside of Ireland.,2
13680348,Sean is annoyed with Brexit.,0
13680348,Sean has many clients from the Republic and is worried about how the new border will affect his shop.,1
13680348,Ann predicts many people won't be satisfied with it.,2
13680373,Zoe was not able to make it to her first date with Ben because she had an important meeting.,0
13680373,Ben will pay for everything when they meet.,1
13680373,He is impatient to meet Zoe.,2
13680376,The dean died yesterday due to heart attack while walking home from the university.,0
13680458,Donnie was in Hungary.,0
13680458,Donnie goes to Warsaw for several days.,1
13680458,Donnie spent a lot of money this month and his dad was robbed in Paris.,2
13680458,Audrey would like to move there.,3
13680500,Mark and Jackie will meet tonight for dinner and movies at Mark's place.,0
13680500,They will go to grocery store together and Mark will make Thai food later.,1
13680500,She's leaving Jackie today.,2
13680505,She will bring two baskets of them to Soph.,0
13680505,Samantha will call Oli to ask about an organic juice producer.,1
13680505,She thinks about taking her apples there.,2
13680505,Samantha has grown a lot of apples.,3
13680513,Steve will take Nick's stuff from his room.,0
13680513,They are going to eat a burger before the event.,1
13680513,They will go for burgers at a new place afterwards.,2
13680513,Steve and Nick will meet at 5 PM at Nick's office and go swimming together.,3
13680515,"Ewan tells Isabel he will be late for the party, because his car broke down.",0
13680515,She gives him a number to a cab service she likes.,1
13680515,Ewan is glad and will be there soon.,2
13680516,They had problems getting there.,0
13680516,"They want to do it again, even if they're living in different places now.",1
13680516,Bo will give feedback to the organizers.,2
13680516,Bo went to a LARP.,3
13680516,"Bo made some friends at the LARP, but a group of players was behaving badly.",4
13680516,Bo has pictures from the LARP which he will upload soon.,5
13680516,"There were some mistakes on the organizers' part, but in general it was okay.",6
13680521,"Josie finds Eco's novel ""Foucault's Pendulum"" nerdy.",0
13680521,"Josie would like to read Eco in Italian, but she's unsure of her language abilities.",1
13680521,Stefano considers Eco's two novels and finds them difficult.,2
13680521,"Josie has read an unfavorable review of ""Foucault's Pendulum"" by Salman Rushdie.",3
13680530,Aly and Mick are discussing the current political situation in the UK.,0
13680548,Gill has missed the lectures today because he has the stomach flu.,0
13680567,Cody will come over to Martha's at 7 and they will watch a film then possibly go out.,0
13680567,Martha refuses to watch a Marvel film this time.,1
13680588,Marta is grocery shopping for dinner.,0
13680588,She and Nick will make lasagne.,1
13680615,Harry refuses to explain why his parents gave him this name.,0
13680615,Isla is conducting research on most popular names in the UK in the last 30 years.,1
13680615,Isla wants to know if the names of public figures have an influence on the names people choose for their children.,2
13680615,Harry was born in 1985.,3
13680633,Rodney invites Dave to his house-warming party this Friday at 8.,0
13680648,The team is getting along well.,0
13680648,They are getting along well.,1
13680648,Wendy brought back her dog that Rose thought was lost.,2
13680648,They fell out.,3
13680661,Lana is confused but she loves Paul.,0
13680661,Lana and Paul have been dating for half a year and now it is serious.,1
13680661,Paul has asked Lana to move in with him.,2
13680661,"Together, Lana and Paul could afford to rent out a bigger apartment.",3
13680675,"Lawrence will visit Papa tonight after jogging before seven, Papa will prepare something to eat.",0
13680677,The Brexit agreement is on the way.,0
13680677,Margaret is coming over to Margaret's to discuss current British political events.,1
13680688,"Rob doesn't want a Christmas banner on the main page, but according to Caron, he will talk different next year when he has a baby.",0
13680702,Noah has left the quince in a basket on his terrace and the twins can pick it up any time.,0
13680702,The twins are in college.,1
13680702,Noah's son is in the military.,2
13680702,Noah worries about him.,3
13680702,Noah agrees.,4
13680702,Sophie accepts some quince from Noah.,5
13680714,Leslie and Laura are throwing a baby shower for Tiffy probably at April 21st at Laura's place.,0
13680714,She is looking for a game.,1
13680714,Everybody is going to pitch in to buy her a stroller.,2
13680714,Tiffy is having a boy and going to name him Leonardo.,3
13680728,"If he travels before Christmas or on the 24th of December, Eva can pick him up from the airport.",0
13680728,Jim is going to come to Poland on the 26th of December or later.,1
13680728,He might have to be at work on the 27th.,2
13680728,Eva can pick him up at the airport if he comes before Christmas.,3
13680749,Victor is going on a concert with his friends and asks Aaron to come.,0
13680749,Aaron should call Roman.,1
13680758,"Kit wants Sam to watch the last episode of the Game of Thrones, but he is behind because of his girlfriend, Katie.",0
13680758,She's not interested in watching it.,1
13680758,She and her friends will have a viewing party on the weekend.,2
13680759,Alan wants to start a business connected with fruit sushi and predicts big profit.,0
13680759,She doesn't find the whole experience amazing but she believes it's a good investment.,1
13680759,He doesn't have enough money to start it and asks Rob for help.,2
13680759,Rob will help Alan if he doesn't give up the business as he once did.,3
13680763,Noah wants to come back and continue studies there.,0
13680763,His son loves travelling by car.,1
13680763,James and John want to buy a car and travel across the US.,2
13680763,James is short on money and has no car.,3
13680763,"John wants Noah to go with them, because it will be cheaper.",4
13680788,Mandy wants to give back the dress that she borrowed from Lucy.,0
13680788,Mandy wore it this weekend during the wedding.,1
13680788,"Mandy was invited there by her boyfriend John, with whom she had a difficult period recently.",2
13680788,Mandy's decided to sacrifice the scholarship offer in London for this relationship.,3
13680793,"Robert and Sandy are planning to go out together, but Robert doesn't like modern art, although Sandy loves it.",0
13680793,Sandy doesn't like horrors.,1
13680793,They will meet at 7.15 at the cinema.,2
13680796-1,Robin is mad at Seth because his work colleague was flirting with him.,0
13680796-1,Robin is being helpful and empathetic.,1
13680811,Dan attended the PTA meeting this week.,0
13680811,School scheduled midterms for the second week of January.,1
13680811,There won't be classes during the midterms.,2
13680811,"Dan and Jenny are frustrated, because they won't be able to pick up their children.",3
13680824,Tina's frustrated as his mother tampers with their private affairs.,0
13680824,Tina wants to go on a weekend road trip to Prague with him but his mother suggests that it'd be better for them to go by plane.,1
